primkey,order_id,jcp_line_number,jcp_component_numb,o_status,ship_date,comp_date,sku,lot,back_order,r_quantity,o_quantity,quality_level,match_flag,mono_flag,set_id,color_id,pick_loc,pick_period,pick_pull_time,iip_nbr,hold_flag,dss_flag,alloc_from_task,ticket_type,,,
500315087,2.02311E+13,2,0,DELETE,4/24/23 0:00,4/24/23 0:00,8941204,34,Y,1,1,0,,N,0,0,E4511C1,21,,2.50342E+11,,N,,A,,,
500318293,2.02311E+13,2,0,DELETE,4/24/23 0:00,4/24/23 0:00,1494997,42,Y,1,1,0,,N,0,0,F2029E1,21,,2.50344E+11,,N,,A,,,
500319555,2.02311E+13,6,0,DELETE,4/24/23 0:00,4/24/23 0:00,8511742,83,Y,1,1,0,,N,0,0,J2410G3,21,,2.50345E+11,,N,,A,,,
500320259,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,2283195,67,Y,1,1,0,,N,0,0,B1615B1,21,,2.50345E+11,,N,,A,,,
500320313,2.02311E+13,1,0,DELETE,4/23/23 0:00,4/23/23 0:00,7313036,18,Y,1,1,0,,N,0,0,B4713E3,13,,2.50345E+11,,N,,A,,,
500320723,2.02311E+13,5,0,DELETE,4/23/23 0:00,4/23/23 0:00,1692050,83,Y,1,1,0,,N,0,0,B0602A2,12,,2.50346E+11,,N,,A,,,
500321343,2.02311E+13,12,0,DELETE,4/23/23 0:00,4/23/23 0:00,1692050,91,Y,1,1,0,,N,0,0,B0617C2,13,,2.50346E+11,,N,,A,,,
500321424,2.02311E+13,1,0,DELETE,4/23/23 0:00,4/23/23 0:00,1692050,91,Y,1,1,0,,N,0,0,B0617C2,17,,2.50346E+11,,N,,A,,,
500321596,2.02311E+13,1,0,DELETE,4/23/23 0:00,4/23/23 0:00,7313036,18,Y,1,1,0,,N,0,0,B0618H2,13,,2.50345E+11,,N,,A,,,
500321812,2.02311E+13,1,0,DELETE,4/23/23 0:00,4/23/23 0:00,8401089,83,Y,1,1,0,,N,0,0,F2727D5,11,,2.50346E+11,,N,,A,,,
500321813,2.02311E+13,2,0,DELETE,4/23/23 0:00,4/23/23 0:00,8400531,281,Y,1,1,0,,N,0,0,G3936H4,11,,2.50346E+11,,N,,A,,,
500321843,2.02311E+13,3,0,DELETE,4/23/23 0:00,4/23/23 0:00,5230126,75,Y,1,1,0,,N,0,0,A4814B3,13,,2.50346E+11,,N,,A,,,
500321881,2.02311E+13,4,0,DELETE,4/23/23 0:00,4/23/23 0:00,8451487,67,Y,1,1,0,,N,0,0,G4222H2,13,,2.50346E+11,,N,,A,,,
500322039,2.02311E+13,2,0,DELETE,4/23/23 0:00,4/23/23 0:00,2880783,34,Y,1,1,0,,N,0,0,B4712F1,11,,2.50346E+11,,N,,A,,,
500322152,2.02311E+13,1,0,DELETE,4/23/23 0:00,4/23/23 0:00,1692050,83,Y,1,1,0,,N,0,0,B0602A2,13,,2.50346E+11,,N,,A,,,
500322226,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,2880783,34,Y,1,1,0,,N,0,0,B4427F3,27,,2.50346E+11,,N,,A,,,
500322276,2.02311E+13,2,0,DELETE,4/24/23 0:00,4/24/23 0:00,8511735,497,Y,1,1,0,,N,0,0,G2835B1,21,,2.50346E+11,,N,,A,,,
500322343,2.02311E+13,5,0,DELETE,4/23/23 0:00,4/23/23 0:00,8451028,281,Y,1,1,0,,N,0,0,B1805H1,16,,2.50346E+11,,N,,A,,,
500322412,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,7812678,18,Y,1,1,0,,N,0,0,A5036D1,21,,2.50347E+11,,N,,A,,,
500322434,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,2231786,67,Y,1,1,0,,N,0,0,C2704G1,21,,2.50347E+11,N,N,,A,,,
