zone_1,zone_2,zone_3,mod_type,top_off,,,
RUGS,,,W09,Y,,,
SHORTSHADE,,,W04,Y,,,
TOWELS,,,A10,Y,,,
HI-SEASON,,,A80,Y,,,
WCONVEY,,,W24,Y,,,
WCONVEY,,,W31,Y,,,
SMALL_A,,,A02,Y,,,
SWING,,,A85,Y,,,
TIERACK_W,,,W60,Y,,,
SWING,,,A91,Y,,,
LONGBINS,,,W18,Y,,,
STOCKING,,,A02,Y,,,
LONGBIN_S,,,W37,Y,,,
SHOES,,,A06,Y,,,
LONGBINS,,,W21,Y,,,
STOCKING,,,A56,Y,,,
ET_ZONE,,,W70,Y,,,
MEDSHADE,,,W38,Y,,,
TOWELS,,,A36,Y,,,
MEDSHADE,,,W36,Y,,,
SWATCH,,,A91,Y,,,
LONGBIN_S,,,W14,Y,,,
LONGSHADE,,,W16,Y,,,
VAULT,,,A19,Y,,,
LONGSHADE,,,W39,Y,,,
LONGBIN_S,,,W36,Y,,,
LONGBIN_S,,,W91,Y,,,
HG WOMEN,,,X06,Y,,,
HEAVIES,,,W93,Y,,,
SHOES,,,A03,Y,,,
TIERACK,,,A93,Y,,,
GADGETS,,,A06,Y,,,
WCONVEY,,,W32,Y,,,
REGULATED,,,W26,Y,,,
HARDLINES,,,A20,Y,,,
TIERACK,,,A97,Y,,,
TIERACK,,,A98,Y,,,
TOWELS,,,A90,Y,,,
TOWELS,,,A93,Y,,,
TOYSWING,,,A92,Y,,,
TIERACK_W,,,W93,Y,,,
SWING,,,A72,Y,,,
TOYSWING,,,A91,Y,,,
LONGSHADE,,,W37,Y,,,
REGULATED,,,W45,Y,,,
REGULATED,,,W25,Y,,,
HARDLINES,,,A36,Y,,,
TOWELS,,,A94,Y,,,
HARDLINES,,,A91,Y,,,
TIERACK_W,,,W94,Y,,,
HANGING,,,X30,Y,,,
TIERACK_E,,,W94,Y,,,
VAULT,,,A02,Y,,,
GADGETS,,,A19,Y,,,
VAULT,,,A10,Y,,,
VAULT,,,A11,Y,,,
VAULT,,,A20,Y,,,
HARDLINES,,,A10,Y,,,
HG LONG,,,X10,Y,,,
HG LONG,,,X18,N,,,
HG WOMEN,,,X10,Y,,,
SWING,,,A39,Y,,,
SWATCH,,,A92,Y,,,
HARDLINES,,,A39,Y,,,
LOW-SEASON,,,A34,Y,,,
HG WOMEN,,,X12,Y,,,
HANGING,,,X18,Y,,,
HG WOMEN,,,X20,Y,,,
SWING,,,A79,Y,,,
HG WOMEN,,,X30,Y,,,
NONCONVWD,,,W67,Y,,,
FLATWARE,,,W52,Y,,,
NONCONVEY,,,W34,Y,,,
SLICKRAIL,,,X14,Y,,,
RUGS_L,,,W48,Y,,,
LOW-SEASON,,,A36,Y,,,
MEDSHADE,,,W14,Y,,,
MEDSHADE,,,W07,Y,,,
SHORTSHADE,,,W36,Y,,,
MEDSHADE,,,W04,Y,,,
TIERACK_E,,,W92,Y,,,
TIERACK_W,,,W92,Y,,,
TIERACK_E,,,W91,Y,,,
TIERACK_E,,,W93,Y,,,
RUGS_L,,,W49,Y,,,
