mod_type,description,type,width,length,height,top_off_flag,num_fit,,,
A26,COFFEE,B,9,30.5,23,,12,,,
A27,D-5 1/3 MOD,B,11,29.5,11,,3,,,
A29,DEFAULT,B,1,1,1,,0,,,
A31,PICKBELT,B,17,36,20,,1,,,
A32,"LOW-SEASON 15""H",B,35,29,15,,5,,,
A36,1/6 HI SEASONAL,B,20.3,44,17,,6,,,
A41,DEFAULT,B,1,1,1,,0,,,
A44,DEFAULT,B,1,1,1,,0,,,
A42,DEFAULT,B,1,1,1,,0,,,
A48,TIERACK-H-SHELF,B,53,30,29.5,,2,,,
A49,TIERACK-H-SHELF,B,48,53,29.5,,2,,,
A51,HANDSTACK TOY S,B,17.5,36,20,,5,,,
A52,HANDSTACK TOY M,B,17,36,36,,1,,,
A53,HANDSTACK TOY L,B,17,48,36,,5,,,
A54,DEFAULT,B,1,1,1,,0,,,
A56,1 HI-SEAS.RACK,B,47,55,47,,1,,,
A57,2 HI-SEAS.RACK,B,47,55,94,,1,,,
A58,1 HI-SEAS.ORANG,B,48,35,84,,1,,,
A59,2 HI-SEAS.ORANG,B,96,35,84,,1,,,
A60,STOCKINGSMALL,B,36,60,26.5,,1,,,
A61,STOCKINGLARGE,B,36,105,26.5,,1,,,
A62,TOYPALLET,B,88,44,48,,1,,,
A63,TOYPALLET,B,88,44,38,,1,,,
A64,TOYPALLET,B,88,44,20,,1,,,
A65,COFFEE,B,8,29.5,8.5,,4,,,
A66,DEFAULT,B,1,1,1,,6,,,
A67,DEFAULT,B,1,1,1,,5,,,
A69,1/6 LOW SEAS,B,17,44,36,,5,,,
A77,O-BELT TR,B,56,47,58,,1,,,
A78,SWING 4 LEVEL,B,28,30,32,,4,,,
A79,SWING  TR 1/2,B,60,44,24,,1,,,
A80,A-6 FULL SHELF,B,100,28,18,,1,,,
A81,TIERACK REG,S,56,44,58,,4,,,
A82,TIERACK SP,S,56,44,45,,5,,,
A86,SWING-TR 1,B,58,40,55,,1,,,
A87,O-BELT SP,B,18.6,47,45,,3,,,
A88,DEFAULT,B,1,1,1,,0,,,
A91,TIER RACK 4,B,60,48,232,,1,,,
A92,TIER RACK 8,B,60,88,232,,1,,,
A93,TIER RACK 12,B,60,132,232,,1,,,
A94,TIER RACK 2,B,60,44,116,,1,,,
A95,TIER RACK 16,B,60,176,232,,1,,,
A96,TIER RACK 3,B,60,44,174,,1,,,
A98,TIER RACK 10,B,60,88,174,,1,,,
A99,TIER RACK 14,B,60,176,174,,1,,,
X01,DEFAULT,B,1,1,1,,0,,,
X02,PREPRINT-X,B,8,29.5,11,,4,,,
X03,,B,3,62,21,,1,,,
X04,DEFAULT,B,1,1,1,,0,,,
X05,SLICKRAIL_D5,B,5,72,21,,1,,,
X06,HG-6INCH,B,6,72,21,,1,,,
X08,DEFAULT,B,1,1,1,,0,,,
X09,DEFAULT,B,1,1,1,,0,,,
X14,U-LEVEL,B,14,72,25,,1,,,
X15,SLICKRAIL,B,14,72,24,,1,,,
X16,DEFAULT,B,1,1,1,,0,,,
X17,DEFAULT,B,1,1,1,,0,,,
X18,,B,18,72,21,,1,,,
X19,DEFAULT,B,1,1,1,,0,,,
X20,K-LEVEL,B,20,72,21,,2,,,
X21,,B,21,62,21,,1,,,
X22,DEFAULT,B,1,1,1,,0,,,
X23,DEFAULT,B,1,1,1,,0,,,
X24,,B,24,62,21,,1,,,
X25,,B,24,72,25,,1,,,
X26,DEFAULT,B,1,1,1,,0,,,
X27,DEFAULT,B,1,1,1,,0,,,
X28,DEFAULT,B,1,1,1,,0,,,
X29,DEFAULT,B,1,1,1,,0,,,
X31,DEFAULT,B,1,1,1,,0,,,
X32,DEFAULT,B,1,1,1,,0,,,
X33,DEFAULT,B,1,1,1,,0,,,
X34,,B,34,62,21,,1,,,
X35,DEFAULT,B,1,1,1,,0,,,
X36,DEFAULT,B,1,1,1,,0,,,
X37,DEFAULT,B,1,1,1,,0,,,
X38,DEFAULT,B,1,1,1,,0,,,
X39,DEFAULT,B,1,1,1,,0,,,
X40,DEFAULT,B,1,1,1,,0,,,
X42,,B,42,62,21,,1,,,
X43,DEFAULT,B,1,1,1,,0,,,
X44,DEFAULT,B,1,1,1,,0,,,
X45,DEFAULT,B,1,1,1,,0,,,
X46,DEFAULT,B,1,1,1,,0,,,
X47,DEFAULT,B,1,1,1,,0,,,
X48,,B,48,72,25,,1,,,
X49,DEFAULT,B,1,1,1,,0,,,
X50,DEFAULT,B,1,1,1,,0,,,
X51,DEFAULT,B,1,1,1,,0,,,
X52,DEFAULT,B,1,1,1,,0,,,
X53,DEFAULT,B,1,1,1,,0,,,
X54,DEFAULT,B,1,1,1,,0,,,
X55,DEFAULT,B,1,1,1,,0,,,
X56,DEFAULT,B,1,1,1,,0,,,
X57,DEFAULT,B,1,1,1,,0,,,
X58,DEFAULT,B,1,1,1,,0,,,
X59,DEFAULT,B,1,1,1,,0,,,
X60,DEFAULT,B,1,1,1,,0,,,
X61,DEFAULT,B,1,1,1,,0,,,
X62,DEFAULT,B,1,1,1,,0,,,
X63,DEFAULT,B,1,1,1,,0,,,
X64,DEFAULT,B,1,1,1,,0,,,
X65,DEFAULT,B,1,1,1,,0,,,
X66,DEFAULT,B,1,1,1,,0,,,
X67,DEFAULT,B,1,1,1,,0,,,
X68,DEFAULT,B,1,1,1,,0,,,
X69,DEFAULT,B,1,1,1,,0,,,
X70,DEFAULT,B,1,1,1,,0,,,
X71,DEFAULT,B,1,1,1,,0,,,
X72,DEFAULT,B,1,1,1,,0,,,
X74,DEFAULT,B,1,1,1,,0,,,
X75,DEFAULT,B,1,1,1,,0,,,
X76,DEFAULT,B,1,1,1,,0,,,
X77,DEFAULT,B,1,1,1,,0,,,
X78,DEFAULT,B,1,1,1,,0,,,
X79,DEFAULT,B,1,1,1,,0,,,
X80,DEFAULT,B,1,1,1,,0,,,
X81,DEFAULT,B,1,1,1,,0,,,
X82,DEFAULT,B,1,1,1,,0,,,
X83,DEFAULT,B,1,1,1,,0,,,
X84,DEFAULT,B,1,1,1,,0,,,
X85,DEFAULT,B,1,1,1,,0,,,
X86,DEFAULT,B,1,1,1,,0,,,
X87,DEFAULT,B,1,1,1,,0,,,
X88,DEFAULT,B,1,1,1,,0,,,
X89,DEFAULT,B,1,1,1,,0,,,
X90,DEFAULT,B,1,1,1,,0,,,
X91,DEFAULT,B,1,1,1,,0,,,
X92,DEFAULT,B,1,1,1,,0,,,
X93,DEFAULT,B,1,1,1,,0,,,
X94,DEFAULT,B,1,1,1,,0,,,
X95,DEFAULT,B,1,1,1,,0,,,
X96,DEFAULT,B,1,1,1,,0,,,
X97,DEFAULT,B,1,1,1,,0,,,
X98,DEFAULT,B,1,1,1,,0,,,
X99,DEFAULT,B,1,1,1,,0,,,
T01,DEFAULT,B,1,1,1,,0,,,
T02,DEFAULT,B,1,1,1,,0,,,
T03,DEFAULT,B,1,1,1,,0,,,
T04,DEFAULT,B,1,1,1,,0,,,
T05,DEFAULT,B,1,1,1,,0,,,
T06,SUITCOAT,B,10,72,21,,1,,,
T07,1/3 MOD,B,11,29.5,11,,3,,,
T08,DEFAULT,B,1,1,1,,0,,,
T09,SUITCOATS,B,9,72,21,,1,,,
T11,DEFAULT,B,1,1,1,,0,,,
T12,SUITCOAT,B,12,72,21,,1,,,
T14,DEFAULT,B,1,1,1,,0,,,
T16,DEFAULT,B,1,1,1,,0,,,
T17,SUITCOAT,B,17,60,25,,1,,,
T18,SUITCOATG D-5,B,18,72,21,,1,,,
T19,DEFAULT,B,1,1,1,,0,,,
T20,SUITCOATS,B,20,72,21,,1,,,
T21,DEFAULT,B,1,1,1,,0,,,
T22,DEFAULT,B,1,1,1,,0,,,
T23,DEFAULT,B,1,1,1,,0,,,
T24,DEFAULT,B,1,1,1,,0,,,
T25,DEFAULT,B,1,1,1,,0,,,
T26,DEFAULT,B,1,1,1,,0,,,
T27,DEFAULT,B,1,1,1,,0,,,
T28,DEFAULT,B,1,1,1,,0,,,
T29,DEFAULT,B,1,1,1,,0,,,
T31,DEFAULT,B,1,1,1,,0,,,
T32,DEFAULT,B,1,1,1,,0,,,
T33,DEFAULT,B,1,1,1,,0,,,
T34,DEFAULT,B,1,1,1,,0,,,
T35,DEFAULT,B,1,1,1,,0,,,
T36,DEFAULT,B,1,1,1,,0,,,
T37,DEFAULT,B,1,1,1,,0,,,
T38,DEFAULT,B,1,1,1,,0,,,
T39,DEFAULT,B,1,1,1,,0,,,
T40,SUITCOAT,B,40,72,21,,1,,,
T41,DEFAULT,B,1,1,1,,0,,,
T42,DEFAULT,B,1,1,1,,0,,,
T43,DEFAULT,B,1,1,1,,0,,,
T44,DEFAULT,B,1,1,1,,0,,,
T45,DEFAULT,B,1,1,1,,0,,,
T46,DEFAULT,B,1,1,1,,0,,,
T47,DEFAULT,B,1,1,1,,0,,,
T48,DEFAULT,B,1,1,1,,0,,,
T49,DEFAULT,B,1,1,1,,0,,,
T50,DEFAULT,B,1,1,1,,0,,,
T51,DEFAULT,B,1,1,1,,0,,,
T52,DEFAULT,B,1,1,1,,0,,,
T53,DEFAULT,B,1,1,1,,0,,,
T54,DEFAULT,B,1,1,1,,0,,,
T55,DEFAULT,B,1,1,1,,0,,,
T56,DEFAULT,B,1,1,1,,0,,,
T57,DEFAULT,B,1,1,1,,0,,,
T58,DEFAULT,B,1,1,1,,0,,,
T59,DEFAULT,B,1,1,1,,0,,,
T60,DEFAULT,B,1,1,1,,0,,,
T61,DEFAULT,B,1,1,1,,0,,,
T62,DEFAULT,B,1,1,1,,0,,,
T63,DEFAULT,B,1,1,1,,0,,,
T64,DEFAULT,B,1,1,1,,0,,,
T65,DEFAULT,B,1,1,1,,0,,,
T66,DEFAULT,B,1,1,1,,0,,,
T67,DEFAULT,B,1,1,1,,0,,,
T68,DEFAULT,B,1,1,1,,0,,,
T69,DEFAULT,B,1,1,1,,0,,,
T70,DEFAULT,B,1,1,1,,0,,,
T71,DEFAULT,B,1,1,1,,0,,,
T72,DEFAULT,B,1,1,1,,0,,,
T73,DEFAULT,B,1,1,1,,0,,,
T74,DEFAULT,B,1,1,1,,0,,,
T75,DEFAULT,B,1,1,1,,0,,,
T76,DEFAULT,B,1,1,1,,0,,,
T77,DEFAULT,B,1,1,1,,0,,,
T78,DEFAULT,B,1,1,1,,0,,,
T79,DEFAULT,B,1,1,1,,0,,,
T80,DEFAULT,B,1,1,1,,0,,,
T81,DEFAULT,B,1,1,1,,0,,,
T82,DEFAULT,B,1,1,1,,0,,,
T83,DEFAULT,B,1,1,1,,0,,,
T84,DEFAULT,B,1,1,1,,0,,,
T85,DEFAULT,B,1,1,1,,0,,,
T86,DEFAULT,B,1,1,1,,0,,,
T87,DEFAULT,B,1,1,1,,0,,,
T88,DEFAULT,B,1,1,1,,0,,,
T89,DEFAULT,B,1,1,1,,0,,,
T90,DEFAULT,B,1,1,1,,0,,,
T91,DEFAULT,B,1,1,1,,0,,,
T92,DEFAULT,B,1,1,1,,0,,,
T93,DEFAULT,B,1,1,1,,0,,,
T94,DEFAULT,B,1,1,1,,0,,,
T95,DEFAULT,B,1,1,1,,0,,,
T96,DEFAULT,B,1,1,1,,0,,,
T97,DEFAULT,B,1,1,1,,0,,,
T98,DEFAULT,B,1,1,1,,0,,,
T99,DEFAULT,B,1,1,1,,0,,,
A85,SWING LG,B,106,48,28,,1,,,
A00,,B,1,1,1,Y,1,,,
X91,HANGING GARMENT,B,12,54.7,32,Y,1,,,
A95,VERY BIG,B,232,60,176,,1,,,
A04,A04,B,2,1,3,,1,,,
A03,JEWELRY,B,9,21,8,Y,1,,,
A01,A01,B,1,1,1,,1,,,
A12,NON USEABLE DSU,B,11.5,29.2,5.9,Y,1,,,
A20,SHOE 1/2,B,18,29,10.5,Y,2,,,
A35,SEASONAL1/6,B,17,40,38,Y,6,,,
A02,A02,B,3,1,2,,1,,,
A09,A09,B,3,1,2,,1,,,
A17,SHOE 1/6,B,14,44,20,Y,6,,,
A18,SHOE 1/3,B,12,29,11,Y,3,,,
A19,SHOE 1/2,B,18,29,11,Y,2,,,
W10,WALLPAPER,B,17,23,22,Y,1,,,
W40,STACKING FRAME,B,36,45,28,Y,1,,,
A22,A22,B,3,1,2,,1,,,
W50,LONGBIN BAM,B,44,60,24,N,1,,,
A38,A38,B,3,1,2,,1,,,
W99,DEFAULT,B,1,1,1,N,1,,,
A75,A75,B,6,1,5,,1,,,
A07,A07,B,3,1,2,,1,,,
A11,,B,1,1,1,Y,1,,,
A55,ASEASONAL1/4,B,26,40,38,Y,4,,,
W01,DEFAULT,B,1,1,1,Y,1,,,
A16,A16,B,4,1,5,,1,,,
A27,A27,B,6,4,5,,1,,,
A54,A54,B,3,1,2,,1,,,
W42,SHADESLG,B,15,74,23,Y,1,,,
W43,SHADES,B,15,38,23,Y,1,,,
W44,MATTRESS SHORT,B,1,1,1,Y,1,,,
W46,1 MOD OVERHANG,B,45,88,60,,1,,,
W48,MATTRESS LARGE,B,1,1,1,Y,1,,,
W60,N-SEC/RUGS,B,43,110,23,Y,1,,,
A58,A58,B,6,4,5,,1,,,
A30,A30,B,5,5,6,,1,,,
A32,A32,B,2,2,2,,1,,,
A50,VAULTFULL,B,36,24,11,Y,1,,,
A10,A6SHORT1/2,B,18,24,11,Y,2,,,
A15,1/4 MOD,B,9,29.2,11,Y,4,,,
A26,1/2 MOD,B,19,29.2,11,Y,2,,,
A37,B-LVL SEASONAL,B,17,37,30,Y,6,,,
A62,A-STFRN UPPER,B,36,105.5,48,Y,1,,,
A63,A-STFR LOWER,B,43,105.5,48,Y,1,,,
A64,A-STFR COMBINDE,B,79,105.5,48,Y,1,,,
A65,,B,1,1,1,Y,1,,,
W17,RUGS-SH,B,20,38,14,Y,1,,,
W35,OVERHANG PALLET,B,44,70,45,Y,1,,,
A86,VAULTFINEJEWEL,B,36,105.5,50,Y,1,,,
A88,4 SOFA,B,43,79,236,Y,1,,,
A89,8 RACK,B,96,56,232,Y,1,,,
X00,U-LVL DBL BAR,B,90,72,24,Y,1,,,
X09,,B,12,12,12,Y,1,,,
X18,,B,12,12,12,Y,1,,,
X20,,B,12,12,12,Y,1,,,
X21,,B,12,12,12,Y,1,,,
X38,,B,12,12,12,Y,1,,,
X61,,B,12,12,12,Y,1,,,
X96,,B,12,12,12,Y,1,,,
X90,HANGING BIN,B,12,69,24,Y,1,,,
X92,HANGING,B,12,54.7,32,Y,1,,,
X99,HANGING DEFAULT,B,999.9,999.9,999.9,N,1,,,
X97,,B,10,10,10,Y,1,,,
X06,,B,10,10,10,N,1,,,
W00,DEFAULT,B,1,1,1,Y,1,,,
X60,U-LVL REGULAR,B,12,67,24,Y,1,,,
X95,,B,10,10,10,Y,1,,,
X01,,B,10,10,10,Y,1,,,
X11,,B,10,10,10,Y,1,,,
W03,DEFAULT,B,1,1,1,Y,1,,,
W04,SHADESLG,B,15,74,14,Y,1,,,
X30,,B,10,10,10,Y,1,,,
W05,RUGS-SH,B,17,38,27,Y,1,,,
W39,LONGBIN-LG,B,44,84,40,Y,1,,,
X05,,B,10,10,10,Y,1,,,
W06,RUGS=SH,B,18,38,17,Y,1,,,
W08,RUGS-SH,B,18,38,29,Y,1,,,
A24,1/3 MOD,B,12,29.2,10.5,Y,3,,,
X56,X-LVL BOTTOM,B,12,60,24,Y,1,,,
W09,SHADESMED,B,12,56,13,Y,1,,,
W28,PALLET WCONVEY,B,42.5,43,48,Y,1,,,
W22,SHADES,B,13.5,44,11,Y,1,,,
W11,SHADESMED,B,15,56,14,Y,1,,,
W12,SHADESMED,B,15,56,23,Y,1,,,
W13,BLINDS-SH,B,14.8,38,14,Y,1,,,
W15,WALLPAPER,B,34,23,23,Y,1,,,
W18,RUGS-SH,B,33,38,11,Y,1,,,
W19,RUGS-SH,B,28,38,17,Y,1,,,
A45,,B,22,42.1,13.5,Y,1,,,
W20,LONGBIN-SH,B,29,41,14,Y,1,,,
W21,BLINDS-SH,B,29.6,38,29,Y,1,,,
W23,LONGBIN-ME,B,34,48,14,Y,1,,,
W24,RUGS-SH,B,35,38,28,Y,1,,,
W25,MISSLE,B,29,45,21,Y,1,,,
W27,DEFAULT,B,1,1,1,Y,1,,,
W29,LONGBIN-LG,B,12,84,12,Y,1,,,
W30,DEFAULT,B,1,1,1,Y,1,,,
W31,LONGBIN-ME,B,34,60,14,Y,1,,,
W32,DEFAULT,B,1,1,1,Y,1,,,
W33,LONGBIN-ME,B,34,65,14,Y,1,,,
A06,1/6 MOD,B,5.8,29.2,10.5,,6,,,
W41,LONBING-LG,B,12,72,18,Y,1,,,
W97,DEFAULT,B,1,1,1,,1,,,
W47,LONGBIN-LG,B,18,84,12,Y,1,,,
W49,LONGBIN-ME,B,40,48,37,Y,1,,,
A85,4 FRAME,B,48,56,232,Y,1,,,
W51,1/2 LONGBIN BAM,B,22,60,24,Y,1,,,
W52,3 MOD TALL,B,1,1,1,Y,1,,,
X59,,B,10,10,10,Y,1,,,
X62,,B,10,10,10,Y,1,,,
X63,,B,10,10,10,Y,1,,,
X64,,B,10,10,10,Y,1,,,
X65,,B,10,10,10,Y,1,,,
X66,,B,10,10,10,Y,1,,,
X67,,B,10,10,10,Y,1,,,
X68,,B,10,10,10,Y,1,,,
X69,,B,10,10,10,Y,1,,,
X70,,B,10,10,10,Y,1,,,
X71,,B,10,10,10,Y,1,,,
X72,U-LVL SEASONAL,B,12,72,24,Y,1,,,
X73,,B,10,10,10,Y,1,,,
X74,,B,10,10,10,Y,1,,,
X75,,B,10,10,10,Y,1,,,
X76,,B,10,10,10,Y,1,,,
X77,,B,10,10,10,Y,1,,,
X78,,B,10,10,10,Y,1,,,
X79,,B,10,10,10,Y,1,,,
X80,,B,6,60,24,Y,1,,,
X81,,B,10,10,10,Y,1,,,
X82,,B,10,10,10,Y,1,,,
X83,,B,10,10,10,Y,1,,,
X84,,B,10,10,10,Y,1,,,
X85,,B,10,10,10,Y,1,,,
X86,,B,10,10,10,Y,1,,,
X87,,B,10,10,10,Y,1,,,
X88,,B,10,10,10,Y,1,,,
X89,,B,10,10,10,Y,1,,,
X93,,B,10,10,10,Y,1,,,
X94,,B,10,10,10,Y,1,,,
X98,,B,10,10,10,Y,1,,,
T05,,B,1,1,1,Y,1,,,
T06,,B,1,1,1,Y,1,,,
T07,,B,1,1,1,Y,1,,,
T08,,B,1,1,1,Y,1,,,
T09,,B,1,1,1,Y,1,,,
T10,,B,1,1,1,Y,1,,,
T11,,B,1,1,1,Y,1,,,
T12,,B,1,1,1,Y,1,,,
T13,,B,1,1,1,Y,1,,,
T14,,B,1,1,1,Y,1,,,
T15,,B,1,1,1,Y,1,,,
T16,,B,1,1,1,Y,1,,,
T17,,B,1,1,1,Y,1,,,
T18,,B,1,1,1,Y,1,,,
T19,,B,1,1,1,Y,1,,,
W53,TALL OVERHANG,B,1,1,1,Y,1,,,
W54,DEFAULT,B,1,1,1,Y,1,,,
W55,DEFAULT,B,1,1,1,Y,1,,,
W56,DEFAULT,B,1,1,1,Y,1,,,
W57,LONGBIN-LG,B,12,110,11,Y,1,,,
W58,DEFAULT,B,1,1,1,Y,1,,,
W61,N-SECT/RUGS,B,35.5,110,14,Y,1,,,
W62,N-SECT/RUGS,B,17,110,14,Y,1,,,
W63,KITS_W,B,230,63,46,,1,,,
W14,BLINDS-SH,B,17.8,38,17,Y,1,,,
W64,L SEC MONSTER11,B,1,1,1,,1,,,
W65,N-SEC/RUGS,B,35,110,28,,1,,,
W68,DEFAULT,B,1,1,1,,1,,,
W69,DEFAULT,B,1,1,1,,1,,,
W66,DEFAULT,B,1,1,1,,1,,,
W26,PALLET WCONVEY,B,28,43,48,Y,1,,,
W70,R-SECT-RUG-BL,B,22,150,17,Y,1,,,
W71,R RUGBLIND,B,44,150,17,Y,1,,,
W72,DEFAULT,B,1,1,1,Y,1,,,
W73,RAILS-TR,B,45,90,120,Y,1,,,
W74,SHADESMED,B,15,46.3,23,Y,1,,,
W34,NONCONVEY PALLE,B,44,53,45,Y,1,,,
W37,ME-L0NG BAM,B,40,48,44,Y,1,,,
W76,DEFAULT,B,1,1,1,Y,1,,,
W59,DEFAULT,B,1,1,1,Y,1,,,
W81,MED BS SOFA,B,45,100,206.5,Y,1,,,
W67,R-SECT/RUGS/BL,B,37.5,120,28.6,Y,1,,,
W77,12 MOD OVERHANG,B,45,264,240,Y,1,,,
W78,DEFAULT,B,1,1,1,Y,1,,,
W79,DEFAULT,B,1,1,1,Y,1,,,
W82,LARGE BS SOFA,B,45,100,325,Y,1,,,
W83,XL BS SOFA,B,45,100,540,Y,1,,,
W85,DEFAULT,B,1,1,1,Y,1,,,
W86,DEFAULT,B,1,1,1,Y,1,,,
W87,4MODXLOVERHANG,B,48,92,240,Y,1,,,
W89,SHORT BS SOFA,B,45,100,72,Y,1,,,
W88,4 MOD SOFA RACK,B,1,1,1,Y,1,,,
W80,SMALL BS SOFA,B,45,100,140,Y,1,,,
W90,2 FRAME BAM,B,45,64,120,Y,1,,,
W91,4 MOD SF,B,45,64,240,Y,1,,,
W92,8 MOD SF,B,45,128,240,Y,1,,,
W93,6  MOD SF,B,45,192,120,Y,1,,,
W94,2 MOD SF,B,45,64,120,Y,1,,,
W95,2 MOD SF T5,B,56,44,120,Y,1,,,
W96,DEFAULT,B,1,1,1,Y,1,,,
W98,DEFAULT,B,1,1,1,Y,1,,,
T00,,B,1,1,1,Y,1,,,
T01,,B,1,1,1,Y,1,,,
T02,,B,1,1,1,Y,1,,,
T03,,B,1,1,1,Y,1,,,
T04,,B,1,1,1,Y,1,,,
X02,,B,10,10,10,Y,1,,,
X03,,B,10,10,10,Y,1,,,
X04,,B,10,10,10,Y,1,,,
X07,,B,10,10,10,Y,1,,,
X08,,B,10,10,10,Y,1,,,
X10,,B,10,10,10,Y,1,,,
X12,,B,10,10,10,Y,1,,,
X13,,B,10,10,10,Y,1,,,
X14,,B,10,10,10,Y,1,,,
X15,,B,10,10,10,Y,1,,,
X16,,B,10,10,10,Y,1,,,
X17,,B,10,10,10,Y,1,,,
X19,,B,10,10,10,Y,1,,,
X22,,B,10,10,10,Y,1,,,
X23,,B,10,10,10,Y,1,,,
X24,,B,20,20,20,Y,1,,,
X25,,B,10,10,10,Y,1,,,
X26,,B,10,10,10,Y,1,,,
X27,,B,10,10,10,Y,1,,,
X28,,B,10,10,10,Y,1,,,
X29,,B,10,10,10,Y,1,,,
X31,,B,10,10,10,Y,1,,,
X32,,B,10,10,10,Y,1,,,
X33,,B,10,10,10,Y,1,,,
X34,,B,10,10,10,Y,1,,,
X35,,B,10,10,10,Y,1,,,
X36,U-LVL FULL BAR,B,36,72,24,Y,1,,,
X37,,B,10,10,10,Y,1,,,
X39,,B,10,10,10,Y,1,,,
X40,,B,6,51,24,Y,1,,,
X41,,B,10,10,10,Y,1,,,
X42,,B,10,10,10,Y,1,,,
X43,,B,10,10,10,Y,1,,,
X44,,B,10,10,10,Y,1,,,
X45,W LVL TOP BOTT,B,12,51,24,Y,1,,,
X46,,B,10,10,10,Y,1,,,
X47,,B,10,10,10,Y,1,,,
X48,,B,10,10,10,Y,1,,,
X49,,B,10,10,10,Y,1,,,
X50,,B,10,10,10,Y,1,,,
X51,TOP/BOTTOM FULL,B,36,50,24,Y,1,,,
X52,,B,10,10,10,Y,1,,,
X53,,B,10,10,10,Y,1,,,
X54,,B,10,10,10,Y,1,,,
X55,,B,10,10,10,Y,1,,,
X57,,B,10,10,10,Y,1,,,
X58,,B,10,10,10,Y,1,,,
T20,,B,1,1,1,Y,1,,,
T21,,B,1,1,1,Y,1,,,
T22,,B,1,1,1,Y,1,,,
T23,,B,1,1,1,Y,1,,,
T24,,B,1,1,1,Y,1,,,
T25,,B,1,1,1,Y,1,,,
T26,,B,1,1,1,Y,1,,,
T27,,B,1,1,1,Y,1,,,
T28,,B,1,1,1,Y,1,,,
T29,,B,1,1,1,Y,1,,,
T30,,B,1,1,1,Y,1,,,
T31,,B,1,1,1,Y,1,,,
T32,,B,1,1,1,Y,1,,,
T33,,B,1,1,1,Y,1,,,
T34,,B,1,1,1,Y,1,,,
T35,,B,1,1,1,Y,1,,,
T36,,B,1,1,1,Y,1,,,
T37,,B,1,1,1,Y,1,,,
T38,,B,1,1,1,Y,1,,,
T39,,B,1,1,1,Y,1,,,
T40,,B,1,1,1,Y,1,,,
T41,,B,1,1,1,Y,1,,,
T42,,B,1,1,1,Y,1,,,
T43,,B,1,1,1,Y,1,,,
T44,,B,1,1,1,Y,1,,,
T45,,B,1,1,1,Y,1,,,
T46,,B,1,1,1,Y,1,,,
T47,,B,1,1,1,Y,1,,,
T48,,B,1,1,1,Y,1,,,
T49,,B,1,1,1,Y,1,,,
T50,,B,1,1,1,Y,1,,,
T51,,B,1,1,1,Y,1,,,
T52,,B,1,1,1,Y,1,,,
T53,,B,1,1,1,Y,1,,,
T54,,B,1,1,1,Y,1,,,
T55,,B,1,1,1,Y,1,,,
T56,,B,1,1,1,Y,1,,,
T57,,B,1,1,1,Y,1,,,
T58,,B,1,1,1,Y,1,,,
T59,,B,1,1,1,Y,1,,,
T60,,B,1,1,1,Y,1,,,
T61,,B,1,1,1,Y,1,,,
T62,,B,1,1,1,Y,1,,,
T63,,B,1,1,1,Y,1,,,
T64,,B,1,1,1,Y,1,,,
T65,,B,1,1,1,Y,1,,,
T66,,B,1,1,1,Y,1,,,
T67,,B,1,1,1,Y,1,,,
T68,,B,1,1,1,Y,1,,,
T69,,B,1,1,1,Y,1,,,
T70,,B,1,1,1,Y,1,,,
T71,,B,1,1,1,Y,1,,,
T72,,B,1,1,1,Y,1,,,
T73,,B,1,1,1,Y,1,,,
T74,,B,1,1,1,Y,1,,,
T75,,B,1,1,1,Y,1,,,
T76,,B,1,1,1,Y,1,,,
T77,,B,1,1,1,Y,1,,,
T78,,B,1,1,1,Y,1,,,
T79,,B,1,1,1,Y,1,,,
T80,,B,1,1,1,Y,1,,,
T81,,B,1,1,1,Y,1,,,
T82,,B,1,1,1,Y,1,,,
T83,,B,1,1,1,Y,1,,,
T84,,B,1,1,1,Y,1,,,
T85,,B,1,1,1,Y,1,,,
T86,,B,1,1,1,Y,1,,,
T87,,B,1,1,1,Y,1,,,
T88,,B,1,1,1,Y,1,,,
T90,,B,1,1,1,Y,1,,,
T91,,B,1,1,1,Y,1,,,
T92,,B,1,1,1,Y,1,,,
T93,,B,1,1,1,Y,1,,,
T96,,B,1,1,1,Y,1,,,
T97,,B,1,1,1,Y,1,,,
T98,,B,1,1,1,Y,1,,,
T99,DEFAULT,B,999.9,999.9,999.9,N,1,,,
T89,,B,1,1,1,Y,1,,,
W02,DEFAULT,B,1,1,1,,1,,,
W16,16 MOD EMPTY,B,1,1,1,,16,,,
W75,8 MODOHANG,B,88,81,224,,1,,,
A13,MULTI LOCS BIN,B,8,28,10,,10,,,
W84,RAILS-TR,B,45,64,120,,1,,,
