primkey,order_id,o_status,line_count,order_class,c_date,order_date,batch_id,short_flag,tasks,store_nbr,area_flag,work_date,address1,address2,address3,city,state,zip,store_code,file_sequence,rob_flag,,,
2907278,90177833,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907279,90178559,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907280,90178732,DELETE,1,SALRTL,4/20/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907281,90180654,DELETE,1,SALRTL,4/19/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907282,90180878,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907283,90181074,DELETE,1,SALRTL,4/20/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907284,90181249,DELETE,1,SALRTL,4/20/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907285,90181611,DELETE,1,SALRTL,4/20/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907286,90181678,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907287,90181975,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907288,90182031,DELETE,1,SALRTL,4/18/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907289,90182395,DELETE,1,SALRTL,4/19/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
2907290,90183179,DELETE,1,SALRTL,4/20/23 0:00,4/17/23 0:00,95,N,1,,,4/17/23 0:00,,,,,,,,6372,,,,
